,date,VIX.Open,VIX.High,VIX.Low,VIX.Close,VIX.Volume,VIX.Adjusted,year,month,monthf,weekday,weekdayf,week
52,2007-03-20,15.01,15.16,13.25,13.27,0,13.27,2007,3,Mar,2,Tue,12
53,2007-03-21,13.27,13.67,11.21,12.19,0,12.19,2007,3,Mar,3,Wed,12
54,2007-03-22,12.29,12.95,12.04,12.93,0,12.93,2007,3,Mar,4,Thu,12
55,2007-03-23,13.13,13.18,12.46,12.95,0,12.95,2007,3,Mar,5,Fri,12
56,2007-03-26,13.39,14.7,12.91,13.11,0,13.11,2007,3,Mar,1,Mon,13
57,2007-03-27,13.56,13.9,13.4,13.48,0,13.48,2007,3,Mar,2,Tue,13
58,2007-03-28,14.28,15.51,14.22,14.98,0,14.98,2007,3,Mar,3,Wed,13
59,2007-03-29,14.98,16.049999,14.34,15.14,1988300,15.14,2007,3,Mar,4,Thu,13
60,2007-03-30,15.14,15.82,14.14,14.64,0,14.64,2007,3,Mar,5,Fri,13
61,2007-04-02,14.91,15.46,14.4,14.53,0,14.53,2007,4,Apr,1,Mon,14
62,2007-04-03,14.02,14.53,12.81,13.46,0,13.46,2007,4,Apr,2,Tue,14
63,2007-04-04,13.82,13.91,13.2,13.24,0,13.24,2007,4,Apr,3,Wed,14
64,2007-04-05,13.57,13.66,12.69,13.23,0,13.23,2007,4,Apr,4,Thu,14
65,2007-04-09,13.26,13.56,12.89,13.14,0,13.14,2007,4,Apr,1,Mon,15
66,2007-04-10,13.33,13.33,12.56,12.68,0,12.68,2007,4,Apr,2,Tue,15
67,2007-04-11,12.72,14.08,12.68,13.49,0,13.49,2007,4,Apr,3,Wed,15
68,2007-04-12,13.65,14.15,12.58,12.71,0,12.71,2007,4,Apr,4,Thu,15
69,2007-04-13,12.67,13.0,12.13,12.2,0,12.2,2007,4,Apr,5,Fri,15
70,2007-04-16,11.86,12.1,11.46,11.98,0,11.98,2007,4,Apr,1,Mon,16
71,2007-04-17,11.7,12.17,11.5,12.14,0,12.14,2007,4,Apr,2,Tue,16
72,2007-04-18,12.48,12.57,11.95,12.42,0,12.42,2007,4,Apr,3,Wed,16
73,2007-04-19,13.16,13.27,12.41,12.54,0,12.54,2007,4,Apr,4,Thu,16
74,2007-04-20,12.03,12.67,11.97,12.07,0,12.07,2007,4,Apr,5,Fri,16
75,2007-04-23,12.6,13.08,12.07,13.04,0,13.04,2007,4,Apr,1,Mon,17
76,2007-04-24,13.12,13.89,13.04,13.12,0,13.12,2007,4,Apr,2,Tue,17
77,2007-04-25,12.74,13.23,12.58,13.21,0,13.21,2007,4,Apr,3,Wed,17
78,2007-04-26,13.16,13.67,12.67,12.79,0,12.79,2007,4,Apr,4,Thu,17
79,2007-04-27,13.12,13.26,12.41,12.45,0,12.45,2007,4,Apr,5,Fri,17
80,2007-04-30,12.9,14.31,12.45,14.22,0,14.22,2007,4,Apr,1,Mon,18
81,2007-05-01,14.1,14.6,13.48,13.51,0,13.51,2007,5,May,2,Tue,18
82,2007-05-02,13.52,13.52,12.55,13.08,0,13.08,2007,5,May,3,Wed,18
83,2007-05-03,13.01,13.36,12.89,13.09,0,13.09,2007,5,May,4,Thu,18
84,2007-05-04,12.91,13.36,12.59,12.91,0,12.91,2007,5,May,5,Fri,18
85,2007-05-07,13.34,13.37,12.91,13.15,0,13.15,2007,5,May,1,Mon,19
86,2007-05-08,13.48,13.69,13.15,13.21,0,13.21,2007,5,May,2,Tue,19
87,2007-05-09,13.43,13.5,12.54,12.88,0,12.88,2007,5,May,3,Wed,19
88,2007-05-10,13.31,13.85,12.88,13.6,0,13.6,2007,5,May,4,Thu,19
89,2007-05-11,13.47,13.47,12.63,12.95,0,12.95,2007,5,May,5,Fri,19
90,2007-05-14,13.26,14.43,13.01,13.96,0,13.96,2007,5,May,1,Mon,20
91,2007-05-15,13.88,14.3,13.27,14.01,0,14.01,2007,5,May,2,Tue,20
92,2007-05-16,14.02,14.18,13.47,13.5,0,13.5,2007,5,May,3,Wed,20
93,2007-05-17,13.62,13.82,13.25,13.51,0,13.51,2007,5,May,4,Thu,20
94,2007-05-18,13.01,13.22,12.69,12.76,0,12.76,2007,5,May,5,Fri,20
95,2007-05-21,13.24,13.3,12.7,13.3,0,13.3,2007,5,May,1,Mon,21
96,2007-05-22,13.29,13.38,12.08,13.06,0,13.06,2007,5,May,2,Tue,21
97,2007-05-23,12.77,13.28,12.55,13.24,0,13.24,2007,5,May,3,Wed,21
98,2007-05-24,13.15,14.36,12.92,14.08,0,14.08,2007,5,May,4,Thu,21
99,2007-05-25,13.81,13.87,13.23,13.34,0,13.34,2007,5,May,5,Fri,21
100,2007-05-29,13.86,13.95,13.31,13.53,0,13.53,2007,5,May,2,Tue,22
101,2007-05-30,14.18,14.29,12.82,12.83,0,12.83,2007,5,May,3,Wed,22
102,2007-05-31,12.78,13.18,12.62,13.05,0,13.05,2007,5,May,4,Thu,22
103,2007-06-01,12.77,13.01,12.43,12.78,0,12.78,2007,6,Jun,5,Fri,22
104,2007-06-04,13.47,13.54,12.78,13.29,0,13.29,2007,6,Jun,1,Mon,23
105,2007-06-05,13.58,14.17,13.29,13.63,0,13.63,2007,6,Jun,2,Tue,23
106,2007-06-06,14.07,15.06,13.63,14.87,0,14.87,2007,6,Jun,3,Wed,23
107,2007-06-07,15.08,17.09,14.87,17.059998999999998,0,17.059998999999998,2007,6,Jun,4,Thu,23
108,2007-06-08,16.75,17.059998999999998,14.73,14.84,0,14.84,2007,6,Jun,5,Fri,23
109,2007-06-11,15.31,15.47,14.24,14.71,0,14.71,2007,6,Jun,1,Mon,24
110,2007-06-12,15.46,16.700001,14.77,16.67,0,16.67,2007,6,Jun,2,Tue,24
111,2007-06-13,16.049999,16.1,14.67,14.73,0,14.73,2007,6,Jun,3,Wed,24
112,2007-06-14,14.76,14.82,13.59,13.64,0,13.64,2007,6,Jun,4,Thu,24
113,2007-06-15,13.01,13.97,12.58,13.94,0,13.94,2007,6,Jun,5,Fri,24
114,2007-06-18,14.42,14.51,13.35,13.42,0,13.42,2007,6,Jun,1,Mon,25
115,2007-06-19,13.78,13.8,12.79,12.85,0,12.85,2007,6,Jun,2,Tue,25
116,2007-06-20,12.77,14.76,12.75,14.67,0,14.67,2007,6,Jun,3,Wed,25
117,2007-06-21,14.8,15.56,14.17,14.21,0,14.21,2007,6,Jun,4,Thu,25
118,2007-06-22,14.45,16.58,14.21,15.75,0,15.75,2007,6,Jun,5,Fri,25
119,2007-06-25,16.5,17.24,15.41,16.65,0,16.65,2007,6,Jun,1,Mon,26
120,2007-06-26,16.459999,18.889999,16.209999,18.889999,0,18.889999,2007,6,Jun,2,Tue,26
121,2007-06-27,18.870001000000002,18.98,15.44,15.53,0,15.53,2007,6,Jun,3,Wed,26
122,2007-06-28,15.7,15.71,14.98,15.54,0,15.54,2007,6,Jun,4,Thu,26
123,2007-06-29,15.25,17.129998999999998,14.62,16.23,0,16.23,2007,6,Jun,5,Fri,26
124,2007-07-02,16.48,16.48,14.91,15.4,0,15.4,2007,7,Jul,1,Mon,27
125,2007-07-03,15.29,15.4,14.85,15.29,0,15.29,2007,7,Jul,2,Tue,27
126,2007-07-05,15.37,15.95,15.17,15.48,0,15.48,2007,7,Jul,4,Thu,27
127,2007-07-06,15.36,15.59,14.67,14.72,0,14.72,2007,7,Jul,5,Fri,27
128,2007-07-09,15.34,15.69,15.03,15.16,0,15.16,2007,7,Jul,1,Mon,28
129,2007-07-10,15.88,17.68,15.83,17.57,0,17.57,2007,7,Jul,2,Tue,28
130,2007-07-11,17.690001000000002,17.91,16.639999,16.639999,0,16.639999,2007,7,Jul,3,Wed,28
131,2007-07-12,16.389999,16.389999,14.93,15.54,0,15.54,2007,7,Jul,4,Thu,28
132,2007-07-13,15.39,15.51,14.79,15.15,0,15.15,2007,7,Jul,5,Fri,28
133,2007-07-16,15.57,15.83,15.27,15.59,0,15.59,2007,7,Jul,1,Mon,29
134,2007-07-17,15.58,15.78,15.31,15.63,0,15.63,2007,7,Jul,2,Tue,29
135,2007-07-18,16.379998999999998,17.059998999999998,15.95,16.0,0,16.0,2007,7,Jul,3,Wed,29
136,2007-07-19,15.43,15.62,15.06,15.23,0,15.23,2007,7,Jul,4,Thu,29
137,2007-07-20,15.39,18.530001000000002,15.36,16.950001,0,16.950001,2007,7,Jul,5,Fri,29
138,2007-07-23,16.620001000000002,17.09,16.389999,16.809998999999998,0,16.809998999999998,2007,7,Jul,1,Mon,30
139,2007-07-24,17.629998999999998,19.09,17.48,18.549999,0,18.549999,2007,7,Jul,2,Tue,30
140,2007-07-25,17.77,19.459999,17.379998999999998,18.1,0,18.1,2007,7,Jul,3,Wed,30
141,2007-07-26,19.41,23.360001,19.299999,20.74,0,20.74,2007,7,Jul,4,Thu,30
142,2007-07-27,20.34,24.17,19.6,24.17,0,24.17,2007,7,Jul,5,Fri,30
143,2007-07-30,23.639999,23.639999,20.860001,20.870001000000002,0,20.870001000000002,2007,7,Jul,1,Mon,31
144,2007-07-31,20.08,23.93,19.68,23.52,0,23.52,2007,7,Jul,2,Tue,31
145,2007-08-01,23.709999,26.219998999999998,23.26,23.67,0,23.67,2007,8,Aug,3,Wed,31
146,2007-08-02,22.940001000000002,23.0,21.200001,21.219998999999998,0,21.219998999999998,2007,8,Aug,4,Thu,31
147,2007-08-03,21.52,25.549999,21.09,25.16,0,25.16,2007,8,Aug,5,Fri,31
148,2007-08-06,25.32,26.469998999999998,22.440001000000002,22.940001000000002,0,22.940001000000002,2007,8,Aug,1,Mon,32
149,2007-08-07,23.33,23.74,21.370001000000002,21.559998999999998,0,21.559998999999998,2007,8,Aug,2,Tue,32
150,2007-08-08,20.969998999999998,22.950001,19.33,21.450001,0,21.450001,2007,8,Aug,3,Wed,32
151,2007-08-09,24.459999,26.9,23.84,26.48,0,26.48,2007,8,Aug,4,Thu,32
152,2007-08-10,28.040001,29.84,26.91,28.299999,0,28.299999,2007,8,Aug,5,Fri,32
153,2007-08-13,28.02,28.02,25.48,26.57,0,26.57,2007,8,Aug,1,Mon,33
154,2007-08-14,25.559998999999998,28.290001,25.309998999999998,27.68,0,27.68,2007,8,Aug,2,Tue,33
155,2007-08-15,28.219998999999998,31.76,26.16,30.67,0,30.67,2007,8,Aug,3,Wed,33
156,2007-08-16,32.68,37.5,30.440001000000002,30.83,0,30.83,2007,8,Aug,4,Thu,33
157,2007-08-17,25.25,31.459999,25.23,29.99,0,29.99,2007,8,Aug,5,Fri,33
158,2007-08-20,29.870001000000002,29.950001,25.799999,26.33,0,26.33,2007,8,Aug,1,Mon,34
159,2007-08-21,26.389999,26.719998999999998,24.77,25.25,0,25.25,2007,8,Aug,2,Tue,34
160,2007-08-22,24.33,24.440001000000002,22.870001000000002,22.889999,0,22.889999,2007,8,Aug,3,Wed,34
161,2007-08-23,22.469998999999998,23.610001,22.049999,22.620001000000002,0,22.620001000000002,2007,8,Aug,4,Thu,34
162,2007-08-24,22.75,23.030001000000002,20.440001000000002,20.719998999999998,0,20.719998999999998,2007,8,Aug,5,Fri,34
163,2007-08-27,22.24,22.83,21.959999,22.719998999999998,0,22.719998999999998,2007,8,Aug,1,Mon,35
164,2007-08-28,23.870001000000002,26.57,23.719998999999998,26.299999,0,26.299999,2007,8,Aug,2,Tue,35
165,2007-08-29,25.870001000000002,26.02,23.440001000000002,23.809998999999998,0,23.809998999999998,2007,8,Aug,3,Wed,35
166,2007-08-30,25.4,25.58,23.690001000000002,25.059998999999998,0,25.059998999999998,2007,8,Aug,4,Thu,35
167,2007-08-31,23.530001000000002,24.07,22.469998999999998,23.379998999999998,0,23.379998999999998,2007,8,Aug,5,Fri,35
168,2007-09-04,21.93,24.809998999999998,21.709999,22.780001000000002,0,22.780001000000002,2007,9,Sep,2,Tue,36
169,2007-09-05,24.030001000000002,25.450001,23.799999,24.58,0,24.58,2007,9,Sep,3,Wed,36
170,2007-09-06,24.43,25.139999,23.66,23.99,0,23.99,2007,9,Sep,4,Thu,36
171,2007-09-07,25.98,26.969998999999998,25.6,26.23,0,26.23,2007,9,Sep,5,Fri,36
172,2007-09-10,26.91,28.82,26.559998999999998,27.379998999999998,0,27.379998999999998,2007,9,Sep,1,Mon,37
173,2007-09-11,27.110001,27.209999,25.190001000000002,25.27,0,25.27,2007,9,Sep,2,Tue,37
174,2007-09-12,25.969998999999998,26.209999,24.57,24.959999,0,24.959999,2007,9,Sep,3,Wed,37
175,2007-09-13,25.01,25.32,23.83,24.76,0,24.76,2007,9,Sep,4,Thu,37
176,2007-09-14,26.379998999999998,26.48,24.68,24.92,0,24.92,2007,9,Sep,5,Fri,37
177,2007-09-17,26.450001,27.08,25.799999,26.48,0,26.48,2007,9,Sep,1,Mon,38
178,2007-09-18,25.790001,26.23,20.27,20.35,0,20.35,2007,9,Sep,2,Tue,38
179,2007-09-19,19.959999,20.57,19.17,20.030001000000002,0,20.030001000000002,2007,9,Sep,3,Wed,38
180,2007-09-20,20.469998999999998,20.82,19.549999,20.450001,0,20.450001,2007,9,Sep,4,Thu,38
181,2007-09-21,19.440001000000002,19.809998999999998,18.370001000000002,19.0,0,19.0,2007,9,Sep,5,Fri,38
182,2007-09-24,19.040001,19.620001000000002,18.32,19.370001000000002,0,19.370001000000002,2007,9,Sep,1,Mon,39
183,2007-09-25,20.25,20.459999,18.440001000000002,18.6,0,18.6,2007,9,Sep,2,Tue,39
184,2007-09-26,17.92,18.18,17.299999,17.629998999999998,0,17.629998999999998,2007,9,Sep,3,Wed,39
185,2007-09-27,17.120001000000002,17.469998999999998,16.950001,17.0,0,17.0,2007,9,Sep,4,Thu,39
186,2007-09-28,17.23,18.219998999999998,16.91,18.0,0,18.0,2007,9,Sep,5,Fri,39
187,2007-10-01,18.440001000000002,18.440001000000002,17.110001,17.84,0,17.84,2007,10,Oct,1,Mon,40
188,2007-10-02,17.67,18.889999,17.6,18.49,0,18.49,2007,10,Oct,2,Tue,40
189,2007-10-03,18.879998999999998,18.99,18.309998999999998,18.799999,0,18.799999,2007,10,Oct,3,Wed,40
190,2007-10-04,18.65,18.65,18.26,18.440001000000002,0,18.440001000000002,2007,10,Oct,4,Thu,40
191,2007-10-05,17.549999,17.559998999999998,16.440001000000002,16.91,0,16.91,2007,10,Oct,5,Fri,40
192,2007-10-08,17.73,17.83,17.32,17.459999,0,17.459999,2007,10,Oct,1,Mon,41
193,2007-10-09,17.15,17.280001000000002,16.09,16.120001000000002,0,16.120001000000002,2007,10,Oct,2,Tue,41
194,2007-10-10,16.42,17.35,16.389999,16.67,0,16.67,2007,10,Oct,3,Wed,41
195,2007-10-11,16.15,19.73,16.08,18.879998999999998,0,18.879998999999998,2007,10,Oct,4,Thu,41
196,2007-10-12,18.68,18.74,17.49,17.73,0,17.73,2007,10,Oct,5,Fri,41
197,2007-10-15,18.139999,20.01,17.950001,19.25,0,19.25,2007,10,Oct,1,Mon,42
198,2007-10-16,20.07,20.75,19.73,20.02,0,20.02,2007,10,Oct,2,Tue,42
199,2007-10-17,18.76,20.110001,18.280001000000002,18.540001,0,18.540001,2007,10,Oct,3,Wed,42
200,2007-10-18,19.16,19.559998999999998,17.73,18.5,0,18.5,2007,10,Oct,4,Thu,42
201,2007-10-19,19.15,22.959999,19.02,22.959999,0,22.959999,2007,10,Oct,5,Fri,42
202,2007-10-22,23.889999,23.940001000000002,21.379998999999998,21.639999,0,21.639999,2007,10,Oct,1,Mon,43
203,2007-10-23,21.290001,21.43,20.129998999999998,20.41,0,20.41,2007,10,Oct,2,Tue,43
204,2007-10-24,21.16,24.15,20.59,20.799999,0,20.799999,2007,10,Oct,3,Wed,43
205,2007-10-25,20.84,22.4,20.040001,21.17,0,21.17,2007,10,Oct,4,Thu,43
206,2007-10-26,19.84,20.969998999999998,19.48,19.559998999999998,0,19.559998999999998,2007,10,Oct,5,Fri,43
207,2007-10-29,19.93,20.24,16.84,19.870001000000002,0,19.870001000000002,2007,10,Oct,1,Mon,44
208,2007-10-30,20.459999,21.15,20.309998999999998,21.07,0,21.07,2007,10,Oct,2,Tue,44
209,2007-10-31,20.530001000000002,22.09,18.299999,18.530001000000002,0,18.530001000000002,2007,10,Oct,3,Wed,44
210,2007-11-01,19.889999,24.15,17.379998999999998,23.209999,0,23.209999,2007,11,Nov,4,Thu,44
211,2007-11-02,22.559998999999998,25.17,22.559998999999998,23.01,0,23.01,2007,11,Nov,5,Fri,44
212,2007-11-05,25.25,25.459999,23.610001,24.309998999999998,0,24.309998999999998,2007,11,Nov,1,Mon,45
213,2007-11-06,23.5,23.74,21.24,21.389999,0,21.389999,2007,11,Nov,2,Tue,45
214,2007-11-07,23.15,26.85,22.75,26.49,0,26.49,2007,11,Nov,3,Wed,45
215,2007-11-08,26.450001,29.15,25.32,26.16,0,26.16,2007,11,Nov,4,Thu,45
216,2007-11-09,27.959999,28.84,26.209999,28.5,0,28.5,2007,11,Nov,5,Fri,45
217,2007-11-12,30.57,31.09,24.469998999999998,31.09,0,31.09,2007,11,Nov,1,Mon,46
218,2007-11-13,27.469998999999998,27.5,23.82,24.1,0,24.1,2007,11,Nov,2,Tue,46
219,2007-11-14,23.35,27.030001000000002,23.07,25.940001000000002,0,25.940001000000002,2007,11,Nov,3,Wed,46
220,2007-11-15,26.959999,29.309998999999998,25.98,28.059998999999998,0,28.059998999999998,2007,11,Nov,4,Thu,46
221,2007-11-16,27.040001,28.120001000000002,25.120001000000002,25.49,0,25.49,2007,11,Nov,5,Fri,46
222,2007-11-19,26.74,27.18,25.74,26.01,0,26.01,2007,11,Nov,1,Mon,47
223,2007-11-20,26.120001000000002,27.35,23.620001000000002,24.879998999999998,0,24.879998999999998,2007,11,Nov,2,Tue,47
224,2007-11-21,26.299999,27.77,24.549999,26.84,0,26.84,2007,11,Nov,3,Wed,47
225,2007-11-23,26.42,26.42,25.35,25.959999,0,25.959999,2007,11,Nov,5,Fri,47
226,2007-11-26,26.459999,28.950001,25.84,28.91,0,28.91,2007,11,Nov,1,Mon,48
227,2007-11-27,28.139999,28.24,26.23,26.280001000000002,0,26.280001000000002,2007,11,Nov,2,Tue,48
228,2007-11-28,25.139999,25.139999,23.549999,24.110001,0,24.110001,2007,11,Nov,3,Wed,48
229,2007-11-29,24.59,24.610001,23.35,23.969998999999998,0,23.969998999999998,2007,11,Nov,4,Thu,48
230,2007-11-30,22.67,23.389999,22.0,22.870001000000002,0,22.870001000000002,2007,11,Nov,5,Fri,48
231,2007-12-03,23.59,24.49,23.4,23.610001,0,23.610001,2007,12,Dec,1,Mon,49
232,2007-12-04,24.299999,24.59,23.32,23.790001,0,23.790001,2007,12,Dec,2,Tue,49
233,2007-12-05,22.719998999999998,23.030001000000002,21.870001000000002,22.530001000000002,0,22.530001000000002,2007,12,Dec,3,Wed,49
234,2007-12-06,22.68,22.75,19.65,20.959999,0,20.959999,2007,12,Dec,4,Thu,49
235,2007-12-07,20.690001000000002,21.01,20.290001,20.85,0,20.85,2007,12,Dec,5,Fri,49
236,2007-12-10,21.16,21.459999,20.360001,20.74,0,20.74,2007,12,Dec,1,Mon,50
237,2007-12-11,20.690001000000002,23.700001,19.77,23.59,0,23.59,2007,12,Dec,2,Tue,50
238,2007-12-12,20.82,24.219998999999998,20.49,22.469998999999998,0,22.469998999999998,2007,12,Dec,3,Wed,50
239,2007-12-13,23.530001000000002,24.040001,22.41,22.559998999999998,0,22.559998999999998,2007,12,Dec,4,Thu,50
240,2007-12-14,23.530001000000002,23.530001000000002,22.26,23.27,0,23.27,2007,12,Dec,5,Fri,50
241,2007-12-17,24.129998999999998,24.860001,23.42,24.52,0,24.52,2007,12,Dec,1,Mon,51
242,2007-12-18,23.700001,24.6,22.41,22.639999,0,22.639999,2007,12,Dec,2,Tue,51
243,2007-12-19,22.620001000000002,22.68,21.299999,21.68,0,21.68,2007,12,Dec,3,Wed,51
244,2007-12-20,21.02,21.67,20.58,20.58,0,20.58,2007,12,Dec,4,Thu,51
245,2007-12-21,19.82,19.82,18.280001000000002,18.469998999999998,0,18.469998999999998,2007,12,Dec,5,Fri,51
246,2007-12-24,19.08,19.42,18.48,18.6,0,18.6,2007,12,Dec,1,Mon,52
247,2007-12-26,19.370001000000002,19.469998999999998,18.6,18.66,0,18.66,2007,12,Dec,3,Wed,52
248,2007-12-27,19.15,20.51,19.15,20.26,0,20.26,2007,12,Dec,4,Thu,52
249,2007-12-28,19.59,21.049999,19.440001000000002,20.74,0,20.74,2007,12,Dec,5,Fri,52
250,2007-12-31,21.870001000000002,22.75,21.790001,22.5,0,22.5,2007,12,Dec,1,Mon,53
251,2008-01-02,22.58,24.049999,22.4,23.17,0,23.17,2008,1,Jan,3,Wed,0
252,2008-01-03,23.110001,23.27,22.110001,22.49,0,22.49,2008,1,Jan,4,Thu,0
253,2008-01-04,23.5,24.299999,23.25,23.940001000000002,0,23.940001000000002,2008,1,Jan,5,Fri,0
254,2008-01-07,24.620001000000002,24.879998999999998,23.299999,23.790001,0,23.790001,2008,1,Jan,1,Mon,1
255,2008-01-08,23.27,25.6,22.629998999999998,25.43,0,25.43,2008,1,Jan,2,Tue,1
256,2008-01-09,25.610001,25.950001,23.9,24.120001000000002,0,24.120001000000002,2008,1,Jan,3,Wed,1
257,2008-01-10,24.559998999999998,24.610001,22.620001000000002,23.450001,0,23.450001,2008,1,Jan,4,Thu,1
258,2008-01-11,24.040001,24.41,23.219998999999998,23.68,0,23.68,2008,1,Jan,5,Fri,1
259,2008-01-14,23.76,23.93,22.65,22.9,0,22.9,2008,1,Jan,1,Mon,2
260,2008-01-15,24.1,24.59,22.969998999999998,23.34,0,23.34,2008,1,Jan,2,Tue,2
261,2008-01-16,23.9,24.379998999999998,22.85,24.379998999999998,0,24.379998999999998,2008,1,Jan,3,Wed,2
262,2008-01-17,24.110001,28.51,23.870001000000002,28.459999,0,28.459999,2008,1,Jan,4,Thu,2
263,2008-01-18,27.549999,29.299999,26.27,27.18,0,27.18,2008,1,Jan,5,Fri,2
264,2008-01-22,35.119999,37.57,29.709999,31.01,0,31.01,2008,1,Jan,2,Tue,3
265,2008-01-23,33.84,34.419998,22.82,29.02,0,29.02,2008,1,Jan,3,Wed,3
266,2008-01-24,28.07,28.48,27.030001000000002,27.780001000000002,0,27.780001000000002,2008,1,Jan,4,Thu,3
267,2008-01-25,26.190001000000002,29.76,25.93,29.08,0,29.08,2008,1,Jan,5,Fri,3
268,2008-01-28,29.67,30.26,27.57,27.780001000000002,0,27.780001000000002,2008,1,Jan,1,Mon,4
269,2008-01-29,26.610001,27.959999,26.549999,27.32,0,27.32,2008,1,Jan,2,Tue,4
