,purchase_time,purchase_date,quantity
109,2017-05-06 15:20:06,2017-05-06 00:00:00,9
110,2017-06-11 21:57:20,2017-06-11 00:00:00,10
111,2017-05-14 12:36:54,2017-05-14 00:00:00,5
112,2017-05-29 22:07:05,2017-05-29 00:00:00,4
113,2017-05-12 22:50:56,2017-05-12 00:00:00,10
114,2017-06-09 13:14:12,2017-06-09 00:00:00,2
115,2017-05-21 23:42:14,2017-05-21 00:00:00,10
116,2017-06-14 20:22:18,2017-06-14 00:00:00,2
117,2017-05-01 16:12:39,2017-05-01 00:00:00,10
118,2017-05-06 02:54:13,2017-05-06 00:00:00,7
119,2017-05-13 13:16:20,2017-05-13 00:00:00,14
120,2017-06-13 21:10:05,2017-06-13 00:00:00,7
121,2017-05-25 12:51:37,2017-05-25 00:00:00,9
122,2017-05-16 12:28:32,2017-05-16 00:00:00,7
123,2017-06-06 21:40:51,2017-06-06 00:00:00,6
124,2017-06-05 15:51:51,2017-06-05 00:00:00,4
125,2017-06-05 09:51:37,2017-06-05 00:00:00,9
126,2017-05-17 15:08:18,2017-05-17 00:00:00,9
127,2017-05-17 10:45:24,2017-05-17 00:00:00,1
128,2017-05-19 16:28:13,2017-05-19 00:00:00,9
129,2017-06-12 10:42:00,2017-06-12 00:00:00,6
130,2017-06-05 21:14:52,2017-06-05 00:00:00,8
131,2017-05-15 21:52:26,2017-05-15 00:00:00,14
132,2017-05-07 18:53:52,2017-05-07 00:00:00,9
133,2017-05-24 13:44:09,2017-05-24 00:00:00,12
134,2017-05-03 15:03:59,2017-05-03 00:00:00,10
135,2017-05-23 08:19:07,2017-05-23 00:00:00,11
136,2017-05-26 16:43:10,2017-05-26 00:00:00,2
137,2017-05-07 22:09:14,2017-05-07 00:00:00,1
138,2017-06-01 14:58:11,2017-06-01 00:00:00,11
139,2017-06-03 10:47:56,2017-06-03 00:00:00,4
140,2017-05-23 10:24:45,2017-05-23 00:00:00,2
141,2017-05-07 16:47:29,2017-05-07 00:00:00,4
142,2017-05-25 11:32:14,2017-05-25 00:00:00,14
143,2017-05-22 15:12:29,2017-05-22 00:00:00,9
144,2017-05-19 15:20:58,2017-05-19 00:00:00,8
145,2017-05-23 11:54:23,2017-05-23 00:00:00,6
146,2017-05-30 20:44:31,2017-05-30 00:00:00,13
147,2017-05-19 22:46:23,2017-05-19 00:00:00,14
148,2017-06-08 17:30:42,2017-06-08 00:00:00,12
149,2017-05-29 18:10:06,2017-05-29 00:00:00,3
150,2017-06-01 10:42:34,2017-06-01 00:00:00,5
151,2017-06-14 17:34:55,2017-06-14 00:00:00,13
152,2017-06-14 11:38:11,2017-06-14 00:00:00,6
153,2017-06-01 21:09:51,2017-06-01 00:00:00,12
154,2017-05-17 11:07:52,2017-05-17 00:00:00,12
155,2017-06-03 16:52:47,2017-06-03 00:00:00,2
156,2017-05-29 09:28:35,2017-05-29 00:00:00,13
157,2017-05-16 13:58:54,2017-05-16 00:00:00,1
158,2017-06-14 16:29:40,2017-06-14 00:00:00,14
159,2017-05-18 23:25:09,2017-05-18 00:00:00,2
160,2017-05-10 19:29:00,2017-05-10 00:00:00,12
161,2017-05-17 22:16:39,2017-05-17 00:00:00,3
162,2017-05-25 10:27:40,2017-05-25 00:00:00,4
163,2017-05-12 10:17:23,2017-05-12 00:00:00,1
164,2017-05-13 11:51:34,2017-05-13 00:00:00,1
165,2017-06-10 13:07:03,2017-06-10 00:00:00,5
166,2017-05-08 12:20:41,2017-05-08 00:00:00,10
167,2017-06-09 10:05:46,2017-06-09 00:00:00,6
168,2017-06-02 09:35:21,2017-06-02 00:00:00,3
169,2017-05-15 11:20:05,2017-05-15 00:00:00,6
170,2017-05-27 00:55:16,2017-05-27 00:00:00,2
171,2017-05-23 08:18:32,2017-05-23 00:00:00,2
172,2017-06-15 17:52:57,2017-06-15 00:00:00,8
173,2017-05-27 11:19:04,2017-05-27 00:00:00,11
174,2017-05-21 09:02:27,2017-05-21 00:00:00,10
175,2017-06-13 15:50:59,2017-06-13 00:00:00,13
176,2017-05-09 12:22:51,2017-05-09 00:00:00,13
177,2017-05-04 15:20:54,2017-05-04 00:00:00,3
178,2017-06-02 16:17:33,2017-06-02 00:00:00,1
179,2017-05-23 08:51:27,2017-05-23 00:00:00,8
180,2017-06-05 13:40:45,2017-06-05 00:00:00,8
181,2017-05-31 13:21:35,2017-05-31 00:00:00,13
182,2017-05-22 21:19:41,2017-05-22 00:00:00,11
183,2017-05-22 17:45:32,2017-05-22 00:00:00,2
184,2017-06-12 11:00:02,2017-06-12 00:00:00,9
185,2017-05-11 13:14:01,2017-05-11 00:00:00,10
186,2017-06-03 19:59:55,2017-06-03 00:00:00,12
187,2017-06-08 10:51:40,2017-06-08 00:00:00,7
188,2017-05-31 17:06:39,2017-05-31 00:00:00,8
189,2017-06-12 15:20:54,2017-06-12 00:00:00,6
190,2017-05-15 17:42:38,2017-05-15 00:00:00,10
191,2017-05-24 18:14:34,2017-05-24 00:00:00,1
192,2017-06-12 13:55:51,2017-06-12 00:00:00,8
193,2017-05-16 17:48:36,2017-05-16 00:00:00,7
194,2017-06-10 18:08:15,2017-06-10 00:00:00,12
195,2017-05-25 00:11:01,2017-05-25 00:00:00,6
196,2017-05-01 10:23:49,2017-05-01 00:00:00,9
197,2017-06-14 12:52:00,2017-06-14 00:00:00,4
198,2017-05-01 09:54:59,2017-05-01 00:00:00,5
199,2017-06-11 00:04:07,2017-06-11 00:00:00,5
200,2017-05-10 20:47:02,2017-05-10 00:00:00,9
201,2017-05-07 12:47:29,2017-05-07 00:00:00,10
202,2017-05-18 09:48:49,2017-05-18 00:00:00,2
203,2017-05-17 22:58:25,2017-05-17 00:00:00,1
204,2017-05-14 20:34:04,2017-05-14 00:00:00,1
205,2017-06-05 14:15:53,2017-06-05 00:00:00,11
206,2017-05-26 16:09:19,2017-05-26 00:00:00,10
207,2017-05-30 22:46:05,2017-05-30 00:00:00,1
208,2017-05-14 22:34:09,2017-05-14 00:00:00,6
209,2017-05-09 12:36:05,2017-05-09 00:00:00,13
210,2017-05-24 15:41:44,2017-05-24 00:00:00,3
211,2017-05-22 11:43:01,2017-05-22 00:00:00,10
212,2017-05-26 02:28:47,2017-05-26 00:00:00,14
213,2017-05-07 19:13:36,2017-05-07 00:00:00,10
214,2017-05-27 23:34:01,2017-05-27 00:00:00,13
215,2017-05-30 17:31:27,2017-05-30 00:00:00,3
216,2017-06-03 10:33:55,2017-06-03 00:00:00,8
217,2017-05-15 13:52:08,2017-05-15 00:00:00,12
218,2017-06-09 15:12:46,2017-06-09 00:00:00,9
219,2017-05-08 15:15:49,2017-05-08 00:00:00,8
220,2017-05-31 13:55:04,2017-05-31 00:00:00,5
221,2017-05-28 13:55:44,2017-05-28 00:00:00,13
222,2017-06-05 23:05:44,2017-06-05 00:00:00,1
223,2017-06-14 19:52:30,2017-06-14 00:00:00,14
224,2017-05-23 17:02:02,2017-05-23 00:00:00,5
225,2017-05-24 18:03:51,2017-05-24 00:00:00,5
226,2017-05-31 16:27:58,2017-05-31 00:00:00,1
227,2017-05-10 15:34:59,2017-05-10 00:00:00,1
228,2017-06-08 11:06:12,2017-06-08 00:00:00,5
229,2017-05-13 15:45:59,2017-05-13 00:00:00,4
230,2017-05-03 09:01:56,2017-05-03 00:00:00,12
231,2017-06-09 09:29:29,2017-06-09 00:00:00,8
232,2017-05-09 14:58:25,2017-05-09 00:00:00,7
233,2017-05-20 02:38:23,2017-05-20 00:00:00,4
234,2017-05-28 09:37:43,2017-05-28 00:00:00,5
235,2017-05-09 20:57:22,2017-05-09 00:00:00,1
236,2017-05-30 09:39:34,2017-05-30 00:00:00,10
237,2017-06-14 02:03:11,2017-06-14 00:00:00,6
238,2017-06-03 15:30:37,2017-06-03 00:00:00,3
239,2017-06-12 09:07:29,2017-06-12 00:00:00,11
240,2017-05-18 10:54:12,2017-05-18 00:00:00,14
241,2017-06-14 17:15:36,2017-06-14 00:00:00,7
242,2017-05-26 23:43:10,2017-05-26 00:00:00,10
243,2017-05-11 20:29:29,2017-05-11 00:00:00,14
244,2017-06-13 12:29:44,2017-06-13 00:00:00,11
245,2017-05-23 10:24:06,2017-05-23 00:00:00,1
246,2017-05-11 14:20:51,2017-05-11 00:00:00,6
247,2017-05-16 18:59:44,2017-05-16 00:00:00,10
248,2017-06-13 19:11:52,2017-06-13 00:00:00,9
249,2017-05-07 14:06:45,2017-05-07 00:00:00,4
250,2017-06-06 10:03:27,2017-06-06 00:00:00,11
251,2017-05-26 16:12:07,2017-05-26 00:00:00,12
252,2017-05-12 15:01:20,2017-05-12 00:00:00,11
253,2017-06-06 21:33:06,2017-06-06 00:00:00,9
254,2017-05-16 12:32:35,2017-05-16 00:00:00,11
255,2017-05-03 16:07:37,2017-05-03 00:00:00,14
256,2017-06-11 22:11:23,2017-06-11 00:00:00,13
257,2017-05-28 23:17:07,2017-05-28 00:00:00,4
258,2017-05-18 15:47:22,2017-05-18 00:00:00,10
259,2017-05-21 16:31:12,2017-05-21 00:00:00,13
260,2017-06-02 21:34:16,2017-06-02 00:00:00,10
261,2017-05-26 14:23:57,2017-05-26 00:00:00,13
262,2017-06-02 11:59:53,2017-06-02 00:00:00,2
263,2017-06-06 12:14:02,2017-06-06 00:00:00,6
264,2017-06-03 11:32:48,2017-06-03 00:00:00,14
265,2017-06-02 09:54:08,2017-06-02 00:00:00,1
266,2017-06-15 20:23:00,2017-06-15 00:00:00,11
267,2017-05-06 11:54:20,2017-05-06 00:00:00,3
268,2017-05-26 23:17:06,2017-05-26 00:00:00,7
269,2017-05-23 11:09:34,2017-05-23 00:00:00,4
270,2017-05-25 22:27:50,2017-05-25 00:00:00,8
271,2017-05-09 11:39:21,2017-05-09 00:00:00,13
272,2017-06-14 13:40:50,2017-06-14 00:00:00,2
273,2017-05-25 21:45:54,2017-05-25 00:00:00,4
274,2017-05-28 23:57:50,2017-05-28 00:00:00,3
275,2017-06-10 00:43:02,2017-06-10 00:00:00,14
276,2017-05-24 15:41:46,2017-05-24 00:00:00,1
277,2017-05-23 16:32:06,2017-05-23 00:00:00,6
278,2017-06-11 11:50:32,2017-06-11 00:00:00,2
279,2017-05-29 11:26:22,2017-05-29 00:00:00,10
280,2017-05-22 23:20:39,2017-05-22 00:00:00,14
281,2017-06-14 15:39:33,2017-06-14 00:00:00,3
282,2017-05-27 16:15:38,2017-05-27 00:00:00,5
283,2017-06-13 12:22:32,2017-06-13 00:00:00,11
284,2017-05-28 19:17:48,2017-05-28 00:00:00,4
285,2017-05-02 07:08:01,2017-05-02 00:00:00,2
286,2017-05-31 19:37:02,2017-05-31 00:00:00,1
287,2017-05-06 14:12:27,2017-05-06 00:00:00,5
288,2017-06-04 20:04:31,2017-06-04 00:00:00,9
289,2017-05-09 22:14:40,2017-05-09 00:00:00,9
290,2017-05-05 11:11:25,2017-05-05 00:00:00,7
291,2017-05-26 09:19:13,2017-05-26 00:00:00,4
292,2017-05-06 21:09:38,2017-05-06 00:00:00,9
293,2017-05-24 21:02:39,2017-05-24 00:00:00,13
294,2017-06-11 20:50:58,2017-06-11 00:00:00,9
295,2017-06-04 10:37:20,2017-06-04 00:00:00,7
296,2017-05-02 13:43:15,2017-05-02 00:00:00,9
297,2017-05-15 13:34:32,2017-05-15 00:00:00,11
298,2017-05-13 15:28:28,2017-05-13 00:00:00,4
299,2017-05-15 17:13:19,2017-05-15 00:00:00,2
300,2017-05-26 15:26:26,2017-05-26 00:00:00,8
301,2017-06-06 13:17:50,2017-06-06 00:00:00,8
302,2017-05-20 15:38:28,2017-05-20 00:00:00,11
303,2017-05-07 19:46:39,2017-05-07 00:00:00,1
304,2017-05-25 16:20:36,2017-05-25 00:00:00,1
305,2017-05-15 16:02:25,2017-05-15 00:00:00,5
306,2017-06-05 16:53:50,2017-06-05 00:00:00,2
307,2017-05-02 21:57:18,2017-05-02 00:00:00,2
308,2017-05-28 22:52:54,2017-05-28 00:00:00,7
309,2017-05-28 14:44:20,2017-05-28 00:00:00,8
310,2017-05-31 09:19:17,2017-05-31 00:00:00,10
311,2017-06-08 20:32:53,2017-06-08 00:00:00,6
312,2017-05-18 12:41:57,2017-05-18 00:00:00,5
313,2017-05-31 17:35:20,2017-05-31 00:00:00,5
314,2017-06-10 22:04:51,2017-06-10 00:00:00,12
315,2017-05-08 17:51:05,2017-05-08 00:00:00,2
316,2017-05-11 22:41:34,2017-05-11 00:00:00,4
317,2017-05-04 20:37:29,2017-05-04 00:00:00,6
318,2017-05-19 21:20:54,2017-05-19 00:00:00,4
319,2017-05-08 21:40:05,2017-05-08 00:00:00,2
320,2017-05-27 13:08:23,2017-05-27 00:00:00,5
321,2017-05-17 17:38:51,2017-05-17 00:00:00,6
322,2017-05-05 23:41:13,2017-05-05 00:00:00,7
323,2017-05-01 18:58:53,2017-05-01 00:00:00,9
324,2017-05-07 13:17:56,2017-05-07 00:00:00,11
325,2017-05-03 12:57:41,2017-05-03 00:00:00,6
326,2017-05-09 15:22:24,2017-05-09 00:00:00,8
327,2017-05-21 08:00:01,2017-05-21 00:00:00,13
328,2017-06-13 22:33:24,2017-06-13 00:00:00,14
329,2017-05-04 15:06:03,2017-05-04 00:00:00,3
330,2017-05-18 09:34:55,2017-05-18 00:00:00,7
331,2017-06-13 14:09:06,2017-06-13 00:00:00,13
332,2017-06-10 09:26:58,2017-06-10 00:00:00,3
333,2017-05-05 15:30:07,2017-05-05 00:00:00,5
334,2017-05-21 22:38:54,2017-05-21 00:00:00,8
335,2017-06-08 09:18:19,2017-06-08 00:00:00,12
336,2017-05-29 13:57:10,2017-05-29 00:00:00,3
337,2017-06-15 12:09:58,2017-06-15 00:00:00,1
338,2017-06-07 10:04:14,2017-06-07 00:00:00,14
339,2017-06-12 22:09:27,2017-06-12 00:00:00,12
340,2017-06-04 10:12:15,2017-06-04 00:00:00,11
341,2017-06-15 15:00:43,2017-06-15 00:00:00,12
342,2017-05-23 13:54:36,2017-05-23 00:00:00,11
343,2017-05-15 10:17:58,2017-05-15 00:00:00,9
344,2017-05-04 19:13:41,2017-05-04 00:00:00,2
345,2017-05-07 22:51:39,2017-05-07 00:00:00,8
346,2017-06-07 17:22:21,2017-06-07 00:00:00,12
347,2017-05-12 21:31:59,2017-05-12 00:00:00,5
348,2017-05-30 15:08:01,2017-05-30 00:00:00,6
349,2017-05-17 19:14:22,2017-05-17 00:00:00,1
350,2017-05-22 16:29:35,2017-05-22 00:00:00,7
351,2017-05-09 18:59:16,2017-05-09 00:00:00,10
352,2017-06-05 17:16:12,2017-06-05 00:00:00,14
353,2017-06-03 12:46:36,2017-06-03 00:00:00,2
354,2017-05-24 15:26:48,2017-05-24 00:00:00,9
355,2017-05-21 17:14:20,2017-05-21 00:00:00,12
356,2017-05-10 08:06:25,2017-05-10 00:00:00,2
357,2017-06-09 11:21:48,2017-06-09 00:00:00,8
358,2017-05-24 18:49:11,2017-05-24 00:00:00,12
359,2017-06-07 16:36:57,2017-06-07 00:00:00,3
360,2017-05-29 10:28:42,2017-05-29 00:00:00,12
361,2017-05-17 09:18:35,2017-05-17 00:00:00,11
362,2017-06-07 15:37:09,2017-06-07 00:00:00,8
363,2017-05-07 13:05:07,2017-05-07 00:00:00,7
364,2017-06-05 22:54:29,2017-06-05 00:00:00,8
365,2017-05-31 19:02:28,2017-05-31 00:00:00,10
366,2017-05-05 13:42:09,2017-05-05 00:00:00,11
367,2017-05-02 16:01:55,2017-05-02 00:00:00,2
368,2017-05-02 10:18:30,2017-05-02 00:00:00,9
369,2017-06-11 18:01:24,2017-06-11 00:00:00,5
370,2017-06-11 15:11:14,2017-06-11 00:00:00,8
371,2017-06-05 19:49:01,2017-06-05 00:00:00,5
372,2017-05-15 12:07:03,2017-05-15 00:00:00,10
373,2017-05-15 08:58:47,2017-05-15 00:00:00,9
374,2017-05-16 08:54:42,2017-05-16 00:00:00,5
375,2017-06-11 17:20:01,2017-06-11 00:00:00,2
376,2017-06-05 21:13:03,2017-06-05 00:00:00,12
377,2017-05-09 22:22:40,2017-05-09 00:00:00,6
378,2017-05-03 08:19:20,2017-05-03 00:00:00,8
379,2017-05-05 09:56:53,2017-05-05 00:00:00,8
380,2017-05-20 17:37:50,2017-05-20 00:00:00,3
381,2017-06-11 10:51:07,2017-06-11 00:00:00,6
382,2017-06-14 23:43:18,2017-06-14 00:00:00,3
383,2017-06-06 11:27:10,2017-06-06 00:00:00,10
384,2017-05-27 04:22:55,2017-05-27 00:00:00,9
385,2017-06-04 22:40:48,2017-06-04 00:00:00,3
386,2017-06-12 12:04:09,2017-06-12 00:00:00,4
387,2017-05-16 17:01:17,2017-05-16 00:00:00,11
388,2017-05-10 21:31:45,2017-05-10 00:00:00,2
389,2017-05-07 14:30:08,2017-05-07 00:00:00,4
390,2017-06-14 21:18:03,2017-06-14 00:00:00,13
391,2017-06-11 09:33:54,2017-06-11 00:00:00,5
392,2017-05-29 22:38:17,2017-05-29 00:00:00,2
393,2017-06-01 12:58:16,2017-06-01 00:00:00,8
394,2017-06-14 11:59:31,2017-06-14 00:00:00,6
395,2017-05-17 16:05:12,2017-05-17 00:00:00,3
396,2017-06-05 11:38:20,2017-06-05 00:00:00,11
397,2017-05-06 19:09:33,2017-05-06 00:00:00,6
398,2017-06-04 12:58:18,2017-06-04 00:00:00,13
399,2017-05-18 08:42:35,2017-05-18 00:00:00,12
400,2017-05-02 14:07:29,2017-05-02 00:00:00,2
401,2017-05-15 22:40:37,2017-05-15 00:00:00,3
402,2017-06-06 19:29:43,2017-06-06 00:00:00,12
403,2017-05-09 14:21:21,2017-05-09 00:00:00,11
404,2017-05-13 15:39:44,2017-05-13 00:00:00,9
405,2017-05-18 13:31:00,2017-05-18 00:00:00,14
406,2017-06-03 12:11:13,2017-06-03 00:00:00,13
407,2017-05-16 13:13:37,2017-05-16 00:00:00,9
408,2017-05-14 13:56:56,2017-05-14 00:00:00,6
409,2017-05-21 18:23:37,2017-05-21 00:00:00,10
410,2017-05-22 20:12:54,2017-05-22 00:00:00,8
411,2017-05-18 20:45:33,2017-05-18 00:00:00,1
412,2017-05-24 16:04:13,2017-05-24 00:00:00,13
413,2017-05-21 13:13:54,2017-05-21 00:00:00,6
414,2017-06-05 18:23:47,2017-06-05 00:00:00,7
415,2017-05-03 13:11:43,2017-05-03 00:00:00,13
416,2017-06-02 20:47:40,2017-06-02 00:00:00,11
417,2017-06-04 10:16:12,2017-06-04 00:00:00,13
418,2017-05-03 20:18:51,2017-05-03 00:00:00,6
419,2017-06-10 16:37:49,2017-06-10 00:00:00,11
420,2017-05-05 14:21:17,2017-05-05 00:00:00,1
421,2017-06-04 17:44:18,2017-06-04 00:00:00,11
422,2017-05-12 08:59:53,2017-05-12 00:00:00,14
423,2017-05-19 15:56:06,2017-05-19 00:00:00,2
424,2017-05-30 18:19:31,2017-05-30 00:00:00,2
425,2017-05-20 19:45:02,2017-05-20 00:00:00,2
426,2017-06-05 13:16:58,2017-06-05 00:00:00,6
427,2017-06-08 13:23:59,2017-06-08 00:00:00,11
428,2017-06-12 10:06:50,2017-06-12 00:00:00,9
429,2017-05-07 22:18:47,2017-05-07 00:00:00,5
430,2017-05-19 12:41:28,2017-05-19 00:00:00,5
431,2017-05-15 10:14:17,2017-05-15 00:00:00,11
432,2017-06-04 12:37:28,2017-06-04 00:00:00,6
433,2017-05-21 09:58:15,2017-05-21 00:00:00,12
434,2017-05-11 16:21:10,2017-05-11 00:00:00,12
435,2017-05-03 15:55:07,2017-05-03 00:00:00,1
436,2017-06-06 23:09:17,2017-06-06 00:00:00,5
437,2017-05-07 14:06:36,2017-05-07 00:00:00,7
438,2017-05-17 18:14:31,2017-05-17 00:00:00,10
439,2017-05-23 12:22:02,2017-05-23 00:00:00,8
440,2017-05-04 13:24:53,2017-05-04 00:00:00,13
441,2017-05-16 11:26:30,2017-05-16 00:00:00,3
442,2017-05-25 11:07:58,2017-05-25 00:00:00,11
443,2017-06-05 09:11:38,2017-06-05 00:00:00,4
444,2017-06-10 16:44:21,2017-06-10 00:00:00,4
445,2017-06-08 23:53:09,2017-06-08 00:00:00,5
446,2017-05-05 13:26:31,2017-05-05 00:00:00,9
447,2017-05-21 11:36:14,2017-05-21 00:00:00,1
448,2017-05-16 15:18:56,2017-05-16 00:00:00,4
449,2017-05-06 22:22:58,2017-05-06 00:00:00,7
450,2017-05-21 07:58:02,2017-05-21 00:00:00,13
451,2017-06-01 15:40:16,2017-06-01 00:00:00,13
452,2017-05-05 00:16:57,2017-05-05 00:00:00,5
453,2017-05-24 08:28:28,2017-05-24 00:00:00,4
454,2017-06-10 13:45:16,2017-06-10 00:00:00,8
455,2017-06-03 10:35:15,2017-06-03 00:00:00,11
456,2017-05-24 17:12:33,2017-05-24 00:00:00,12
457,2017-05-10 11:52:51,2017-05-10 00:00:00,13
458,2017-06-10 22:50:40,2017-06-10 00:00:00,7
459,2017-05-19 15:52:45,2017-05-19 00:00:00,3
460,2017-06-11 23:41:58,2017-06-11 00:00:00,4
461,2017-06-04 18:53:47,2017-06-04 00:00:00,9
462,2017-05-09 17:54:17,2017-05-09 00:00:00,14
463,2017-05-19 14:25:52,2017-05-19 00:00:00,9
464,2017-05-29 15:07:16,2017-05-29 00:00:00,6
